1
fjkdsfjsakfdj,33
,Price,Position,Ticker
2019-05-17 00:00:00,71.88999938964844,short,JOBS
2019-05-17 00:00:00,46.27000045776367,long,SRCE
2019-05-20 00:00:00,46.130001068115234,short,SRCE
2019-06-12 00:00:00,72.70999908447266,long,JOBS
2019-06-19 00:00:00,45.15999984741211,long,SRCE
2019-07-18 00:00:00,44.47999954223633,short,SRCE
2019-07-31 00:00:00,46.95000076293945,long,SRCE
2019-08-06 00:00:00,66.3499984741211,short,JOBS
2019-08-12 00:00:00,44.70000076293945,short,SRCE
2019-08-27 00:00:00,65.68000030517578,long,JOBS
2019-09-11 00:00:00,46.869998931884766,long,SRCE
2019-10-01 00:00:00,73.41999816894531,short,JOBS
2019-10-02 00:00:00,44.779998779296875,short,SRCE
2019-10-08 00:00:00,74.4000015258789,long,JOBS
2019-10-18 00:00:00,49.209999084472656,long,SRCE
2019-10-31 00:00:00,78.7699966430664,short,JOBS
2019-11-06 00:00:00,78.48999786376953,long,JOBS
2019-11-18 00:00:00,76.51000213623047,short,JOBS
2019-11-19 00:00:00,51.290000915527344,short,SRCE
2019-12-03 00:00:00,77.61000061035156,long,JOBS
2019-12-11 00:00:00,51.369998931884766,long,SRCE
2020-01-06 00:00:00,51.189998626708984,short,SRCE
2020-01-27 00:00:00,77.91999816894531,short,JOBS
2020-02-18 00:00:00,78.4800033569336,long,JOBS
2020-02-25 00:00:00,73.86000061035156,short,JOBS
2020-04-06 00:00:00,31.739999771118164,long,SRCE
2020-04-07 00:00:00,66.22000122070312,long,JOBS
2020-04-27 00:00:00,33.790000915527344,short,SRCE
2020-04-29 00:00:00,36.189998626708984,long,SRCE
2020-04-30 00:00:00,59.939998626708984,short,JOBS
2020-05-13 00:00:00,28.43000030517578,short,SRCE
2020-05-20 00:00:00,65.1500015258789,long,JOBS
2020-05-28 00:00:00,35.189998626708984,long,SRCE
